view,name,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
view_000.png,121.39188919050136_31.17403330531309_0900030012200225075857709GF_final.png,6.762123107910156,16.463375091552734,39.56289291381836,0.4853248596191406,1.7287254333496094,0.05970001220703125,0.0,0.0,29.915904998779297,0.0,0.27751922607421875,0.0,2.7889251708984375,0.0,0.0,0.0,0.0,0.0,1.9555091857910156
view_090.png,121.39188919050136_31.17403330531309_0900030012200225075857709GF_final.png,25.55704116821289,11.211109161376953,4.355430603027344,5.175304412841797,5.669593811035156,0.7732391357421875,0.0,0.28514862060546875,41.39366149902344,0.07305145263671875,2.6098251342773438,0.40340423583984375,1.4063835144042969,0.09059906005859375,0.0,0.00762939453125,0.0,0.0,0.9885787963867188
view_180.png,121.39188919050136_31.17403330531309_0900030012200225075857709GF_final.png,15.167236328125,3.618907928466797,50.226497650146484,0.4942893981933594,4.865264892578125,0.0,0.0,0.0,21.673011779785156,0.0,0.0,2.9074668884277344,0.20380020141601562,0.0,0.0,0.0,0.0,0.0,0.8435249328613281
view_270.png,121.39188919050136_31.17403330531309_0900030012200225075857709GF_final.png,21.43688201904297,7.999420166015625,20.139789581298828,0.0,0.0,0.22735595703125,0.019550323486328125,0.06647109985351562,35.41679382324219,0.0,4.289913177490234,0.3712654113769531,5.0441741943359375,0.091552734375,0.0,0.0,0.0,4.562091827392578,0.33473968505859375
view_000.png,121.39189672764506_31.176879080319928_09000300122002271012438305O_final.png,31.699275970458984,0.0,0.33206939697265625,0.0,2.969074249267578,0.690460205078125,0.0,0.12865066528320312,33.0082893371582,0.23241043090820312,30.05695343017578,0.00324249267578125,0.0,0.5942344665527344,0.28533935546875,0.0,0.0,0.0,0.0
view_090.png,121.39189672764506_31.176879080319928_09000300122002271012438305O_final.png,24.987220764160156,0.0,25.711822509765625,2.956390380859375,0.7176399230957031,1.7242431640625,0.0,0.5452156066894531,8.362293243408203,0.0,24.965381622314453,0.0,0.0,10.029792785644531,0.0,0.0,0.0,0.0,0.0
view_180.png,121.39189672764506_31.176879080319928_09000300122002271012438305O_final.png,1.4389991760253906,3.5488128662109375,80.75027465820312,2.920246124267578,0.0,0.0,0.0,0.0,6.160831451416016,0.0,0.0,0.0,0.0,5.180835723876953,0.0,0.0,0.0,0.0,0.0
view_270.png,121.39189672764506_31.176879080319928_09000300122002271012438305O_final.png,38.9439582824707,0.0,29.964923858642578,0.6678581237792969,1.1088371276855469,0.5978584289550781,0.0,0.022411346435546875,6.762599945068359,2.3942947387695312,19.110107421875,0.0,0.0,0.4271507263183594,0.0,0.0,0.0,0.0,0.0
view_000.png,121.39189779576016_31.16802617827499_0900030012200221074723970GF_final.png,1.5326499938964844,0.0,66.48082733154297,0.06341934204101562,5.059623718261719,3.179454803466797,0.0,1.8086433410644531,14.321041107177734,0.0,7.4432373046875,0.0,0.0,0.11110305786132812,0.0,0.0,0.0,0.0,0.0
view_090.png,121.39189779576016_31.16802617827499_0900030012200221074723970GF_final.png,22.391700744628906,6.2084197998046875,17.218685150146484,18.152999877929688,1.1674880981445312,4.205799102783203,0.061130523681640625,1.2996673583984375,11.426925659179688,0.0,17.600440979003906,0.0,0.0,0.22754669189453125,0.039196014404296875,0.0,0.0,0.0,0.0
view_180.png,121.39189779576016_31.16802617827499_0900030012200221074723970GF_final.png,16.44725799560547,0.0,36.45963668823242,0.0,37.19959259033203,0.0,0.0,0.0,2.9638290405273438,0.0,6.753349304199219,0.17633438110351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view_270.png,121.39189779576016_31.16802617827499_0900030012200221074723970GF_final.png,24.109554290771484,7.950401306152344,37.592506408691406,9.578132629394531,3.861522674560547,1.6263961791992188,0.0,0.363922119140625,3.14788818359375,0.0,8.459091186523438,0.24280548095703125,0.0,3.0626296997070312,0.0,0.0,0.0,0.0,0.00514984130859375
view_000.png,121.39191847270448_31.17788324569467_0900030012210107115102362HH_final.png,0.0,0.0,10.339641571044922,0.0,66.46184921264648,0.13208389282226562,0.0,0.0,0.23031234741210938,0.0,22.83611297607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
view_090.png,121.39191847270448_31.17788324569467_0900030012210107115102362HH_final.png,21.05417251586914,3.895092010498047,7.972908020019531,1.9062042236328125,11.853694915771484,3.6794662475585938,0.0011444091796875,0.6936073303222656,7.127094268798828,0.19445419311523438,38.73252868652344,0.06656646728515625,0.004863739013671875,2.3456573486328125,0.31909942626953125,0.0,0.0,0.0,0.15344619750976562
view_180.png,121.39191847270448_31.17788324569467_0900030012210107115102362HH_final.png,0.3962516784667969,5.747222900390625,0.3418922424316406,5.113697052001953,9.782886505126953,1.2896537780761719,0.0,0.9274482727050781,48.41461181640625,9.131622314453125,10.665607452392578,0.0,0.0,8.174324035644531,0.0,0.0,0.0,0.0,0.014781951904296875
view_270.png,121.39191847270448_31.17788324569467_0900030012210107115102362HH_final.png,16.690635681152344,0.4654884338378906,7.463932037353516,0.0110626220703125,17.747783660888672,0.8634567260742188,0.0,0.032711029052734375,26.496124267578125,1.4874458312988281,11.395454406738281,0.0,0.0,17.267513275146484,0.07839202880859375,0.0,0.0,0.0,0.0
